1,Gogoro VIVA Basic (白),1,1
2,iphone 14 pro 256G (深紫色),1,1
3,SONY Playstaion PS5 (光碟版),1,1
4,Apple 第六代 iPad mini 8.3 吋 64G WiFi 太空灰(64G WIFI版),1,1
5,Dyson Supersonic™ HD08 吹風機 桃紅色,1,1
6,Marshall Uxbridge with Google Assistant 智慧喇叭 - 經典白/黑,3,1
7,"【Philips 飛利浦】Sonicare DC Smart
 鑽石靚白智能音波震動牙刷/電動牙刷-晶鑽白(HX9924/02)",3,1
8,APPLE WATCH SE,3,1
9,任天堂 Nintendo Switch,2,1
10,Xiaomi 空氣淨化器 4 Pro,2,1
11,AirPods (第 3 代),4,1
12,【飛利浦 PHILIPS】熱穿透氣旋數位小白-健康氣炸鍋4.1L(HD9252/01),2,1
13,新光三越禮券,10,1
14,Panasonic 國際牌38公升電烤箱 NB-H3801,5,1
15,HomePod mini,11,1
16,小米便攜相片印表機,10,1
17,APPLE MagSafe 充電器,10,1
